,S#,Teacher Name,University Currently Teaching,Department,Province University Located,Designation,Terminal Degree,Graduated from,Country,Year,Area of Specialization/Research Interests,Other Information,degree_title
952,953,Maryam Bashir,FAST(Lahore),Computer Science,Punjab,Assistant Professor,PhD,"Northeastern University,Boston",USA,2014.0,"�Information Retrieval, Machine Leaning, Bioinformatics and Data Sciences.",,PhD
955,956,Muhammad Usman Sadiq,FAST(Lahore),Computer Science,Punjab,Assistant Professor,PhD,Purdue University,USA,2016.0,"�iterative methods to solve inverse problems, neuroimaging techniques including MRI and fMRI, and brain morphometry and topology.",,PhD
957,958,Taimur Bakhshi,FAST(Lahore),Computer Science,Punjab,Assistant Professor,PhD,University of Plymouth,UK,2016.0,"�software defined networking, network measurements, Internet traffic classification, and systems security.",,PhD
958,959,Usman Awais,FAST(Lahore),Computer Science,Punjab,Assistant Professor,PhD,Vienna University of Technology,Austria,2015.0,"Computer Vision, Parallel and Distributed Algorithms, Internet of Things and Information retrieval.",,PhD
983,984,Adnan Noor Milan,Information Technology University,Computer Science,Punjab,Associate Professor/Chairperson,PhD,Sapienza University of Rome,Italy,,"Internet of Things (IoT), Wireless Sensor and Ad Hoc Networks, Opportunistic Networks, Mobile and Distributed Systems, Network Virtualization and Cloud Computing, Distributed Algorithms, AI techniques applied to Networks, Exploiting On Board Diagnostics (OBD-II) in Electronic Fuel Injection (EFI) Vehicles",,PhD
984,985,Faisal Kamiran,Information Technology University,Computer Science,Punjab,Assistant Professor,PhD,Eindhoven University of Technology (TU/e),Netherland,2011.0,"Data Science, Machine Learning, Data Mining, Text Mining, Descriptive and Predictive Analytics, Social Media Analytics, Sentiment Analysis, Recommender Systems, Constrain Based Learning, Big Data",,PhD
988,989,Falak Sher,Information Technology University,Computer Science,Punjab,Assistant Professor,PhD,RWTH Aachen University,Germany,2015.0,"Analysis of reactive, stochastic, real-time, and hybrid systems. Reduction techniques for probabilistic systems using game theory. Formal software verification, in particular model checking. Formal modeling and analysis of distributed computing. Game theory, Petrinets, process algebra, concurrency theory, mathematical logic and automata theory.",,PhD
989,990,Yasira Waqar,Information Technology University,Computer Science,Punjab,,PhD,Columbia University,USA,2012.0,"Educational Technology Integration at Different Levels, Use of Different Technologies to Improve Student Learning",,PhD
990,991,Tahira Naseem,Information Technology University,Computer Science,Punjab,Assistant Professor,PhD,Massachusetts Institute of Technology,USA,2014.0,"Natural Language Processing, Probabilistic Graphical Models, Linguistics",,PhD
991,992,Mudassir Shabbir,Information Technology University,Computer Science,Punjab,,PhD,"Rutgers State University of New Jersey, NJ",USA,,"Algorithmic and Discrete Geometry, Combinatorics, Extremal Graph Theory",,PhD
992,993,Mohsen Ali,Information Technology University,Computer Science,Punjab,Assistant Professor,PhD,University of Florida,USA,,"solving theoretical and practical problems entailing Computer Vision and Machine Learning, specifically on the problems related to image co-segmentation, remote sensing, medical imaging and affective computing. Our group works extensively in Deep Learning, not only exploring innovative application of deep learning on existing problems but specially extending its theoretical understanding.",,PhD
993,994,Maryam Mustafa,Information Technology University,Computer Science,Punjab,Assistant Professor,PhD,Technical University of Braunschweig,Germany,2015.0,investigating multidisciplinary approaches to HCI and computer graphics issues particularly the perception of highly realistic cg humans,,PhD
994,995,Agha Ali Raza,Information Technology University,Computer Science,Punjab,Assistant Professor,PhD,"Carnegie Mellon University, Pittsburgh",USA,,"Speech and Language Technologies, Designing interfaces for the low-literate, Telephone-based Speech Interfaces for Access to Information by Non-literate Users, Speech Recognition.",,PhD
995,996,Asim Karim,Lahore University of Management Sciences,Computer Science,Punjab,Professor,PhD,The Ohio State University,USA,2002.0,"data mining, machine learning, and applied artificial intelligence",,PhD
996,997,Basit Shafiq,Lahore University of Management Sciences,Computer Science,Punjab,Associate Professor,PhD,Purdue University,USA,2006.0,"Information systems security, secure distributed and networking systems, databases, multimedia information systems, semantic Web, Web services, ontology, and software testing.",,PhD
999,1000,Ihsan Ayyub Qazi,Lahore University of Management Sciences,Computer Science,Punjab,Associate Professor,PhD,University of Pittsburgh,USA,2010.0,"computer networks and distributed systems and span cloud computing and datacenters, wireless networks, Internet censorship, and ICT for developing regions (including smart grids).",,PhD
1000,1001,ImdadUllah Khan,Lahore University of Management Sciences,Computer Science,Punjab,Assistant Professor,PhD,The State University of New Jersey,USA,,,,PhD
1001,1002,Junaid Haroon Siddiqui,Lahore University of Management Sciences,Computer Science,Punjab,Assistant Professor,PhD,The University of Texas at Austin,USA,2012.0,program analysis using static and dynamic techniques in automatic software test generation and parallel and incremental techniques in scaling algorithms for multicore processors and the intersection of these domains,,PhD
1002,1003,Mian Muhammad Awais,Lahore University of Management Sciences,Computer Science,Punjab,Professor,PhD,"Imperial College, University of London",UK,,development of on-line models for parametric estimation of solid fuel-fired industrial boilers,,PhD
1005,1006,Murtaza Taj,Lahore University of Management Sciences,Computer Science,Punjab,Assistant Professor,PhD,Queen Mary University of London,UK,2009.0,object detection and tracking using multimodal sensors,,PhD
1006,1007,Naveed Arshad,Lahore University of Management Sciences,Computer Science,Punjab,Associate Professor/Chair,PhD,University of Colorado�,USA,,"short, medium and long term forecasting of energy demand, renewable energy generation forecasting for wind and solar resources, demand side management in agricultural, residential and industrial sectors, energy efficiency, and renewable energy integration in existing building stock",,PhD
1007,1008,Shafay Shamail,Lahore University of Management Sciences,Computer Science,Punjab,Associate Professor,PhD,University of Bath,UK,,,,PhD
1008,1009,Suleman Shahid,Lahore University of Management Sciences,Computer Science,Punjab,Assistant Professor,PhD,Tilburg University,Netherland,2011.0,"assistive technologies�(mobile apps and VR/AR systems) to enhance the quality of life�of persons with disabilities (e.g. autism, dyslexia, visual impairment) and older adults, educational technologies for children (child-computer interaction),�and affective computing",,PhD
1009,1010,Yasir Mehmood,Lahore University of Management Sciences,Computer Science,Punjab,Assistant Professor,PhD,Pompeu Fabra University Barcelona,Spain,2016.0,"social network analysis, mining social influence, machine learning",,PhD
1092,1093,Dr Adnan Shahzada,University of Management and Technology,Computer Science,Punjab,Assistant Professor,PhD,Politecnico di Milano,Italy,,,,PhD
1102,1103,Dr Adnan Abid,University of Management and Technology,Computer Science,Punjab,Associate Professor,PhD,Politecnico di Milano,Italy,,,,PhD
1121,1122,Khaver Zia,Beaconhouse National University,School of Information and Technology,Punjab,Professor/Dean,PhD,University of Manchester,UK,,Computer Control,,PhD
1162,1163,Imran Amin,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Computing,Sindh,Associate Professor/HoD,PhD,Loughborough University,UK,,"Embedded Systems, Artificial Intelligence and Image Processing",,PhD
1164,1165,Husnain Mansoor Ali,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Computing,Sindh,Associate Professor,PhD,University Paris,France,,Networking,,PhD
1176,1177,Muhammad Saleem Vighio,"QUAID-E-AWAM UNIVERSITY OF ENGINEERING, SCIENCE & TECHNOLOGY,NAWABSHAH
",Computer Science,Sindh,Associate Professor,PhD,,Denmark,,,,PhD
1177,1178,�Zahid Hussain Abro,"QUAID-E-AWAM UNIVERSITY OF ENGINEERING, SCIENCE & TECHNOLOGY,NAWABSHAH
",Computer Science,Sindh,Professor,PhD,,Austria,,,,PhD
1178,1179,Muhammad Ibrahim Channa,"QUAID-E-AWAM UNIVERSITY OF ENGINEERING, SCIENCE & TECHNOLOGY,NAWABSHAH
",Computer Science,Sindh,Professor/Chairman,PhD,Asian Institute of Technology,Thailand,,,,PhD
1179,1180,Akhtar Hussain Jalbani,"QUAID-E-AWAM UNIVERSITY OF ENGINEERING, SCIENCE & TECHNOLOGY,NAWABSHAH
",Computer Science,Sindh,Associate Professor,PhD,,Thailand,,,,PhD
1180,1181,Nazar Hussain Phulpoto,"QUAID-E-AWAM UNIVERSITY OF ENGINEERING, SCIENCE & TECHNOLOGY,NAWABSHAH
",Computer Science,Sindh,Associate Professor,PhD,,China,,,,PhD
1181,1182,Rafia Naz Memon,"QUAID-E-AWAM UNIVERSITY OF ENGINEERING, SCIENCE & TECHNOLOGY,NAWABSHAH
",Computer Science,Sindh,Assistant Professor,PhD,,Malaysia,,,,PhD
1208,1209,Mumtaz Hussain Mahar,"Shah Abdul Latif University, Khairpur",Computer Science,Sindh,Dean,PhD,,UK,,,,PhD
1216,1217,�Rafaqat Hussain Arain,"Shah Abdul Latif University, Khairpur",Computer Science,Sindh,Assistant Professor,PhD,,China,,,,PhD
1217,1218,Riaz Ahmed Shaikh,"Shah Abdul Latif University, Khairpur",Computer Science,Sindh,Assistant Professor,PhD,,China,,,,PhD
1230,1231,MUHAMMAD SALEEM CHANDIO,University of Sindh,Institute of Mathematics & Computer Science,Sindh,Professor/Director & Registrar,PhD,Swansea,UK,2002.0,,,PhD
1231,1232,RIAZ AHMED MEMON,University of Sindh,Institute of Mathematics & Computer Science,Sindh,Professor,PhD,University of Shanghai for Science and Technology,China,1993.0,Mathematics,,PhD
1234,1235,SHAIKH ABDUL WASIM,University of Sindh,Institute of Mathematics & Computer Science,Sindh,Professor,PhD,,China,2006.0,,,PhD
1235,1236,AYAZ KEERIO,University of Sindh,Institute of Mathematics & Computer Science,Sindh,Professor,PhD,University of Sussex,UK,2011.0,"Digital Signal Processing,Speech Recognition and Synthesis systems,Computer Networks.",,PhD
1237,1238,BALOCH MUJEEB-U-REHMAN MAREE,University of Sindh,Institute of Mathematics & Computer Science,Sindh,Professor,PhD,,China,2006.0,,,PhD
1241,1242,ZAIN-UL-ABDIN KHUHRO,University of Sindh,Institute of Mathematics & Computer Science,Sindh,Professor,PhD,University of Essex,UK,2011.0,"Bioinformatics,Structural biology,Graph theory,Operations Research",,PhD
1243,1244,FARHAT NAUREEN MEMON,University of Sindh,Institute of Mathematics & Computer Science,Sindh,Associate Professor,PhD,University of Essex,UK,2012.0,,,PhD
1244,1245,HYDER ALI NIZAMANI,University of Sindh,Institute of Mathematics & Computer Science,Sindh,Associate Professor,PhD,University of Leicester,UK,2012.0,,,PhD
1245,1246,QURAT UL AIN NIZAMANI,University of Sindh,Institute of Mathematics & Computer Science,Sindh,Associate Professor,PhD,University of Leicester,UK,2012.0,,,PhD
1246,1247,NOOR JEHAN RAJPER,University of Sindh,Institute of Mathematics & Computer Science,Sindh,Assistant Professor,PhD,University of Leicester,UK,2012.0,,,PhD
1247,1248,IMTIAZ ALI KOREJO,University of Sindh,Institute of Mathematics & Computer Science,Sindh,Associate Professor,PhD,University of Leicester,UK,2012.0,,,PhD
1248,1249,YASIR ARFAT MALKANI,University of Sindh,Institute of Mathematics & Computer Science,Sindh,Associate Professor,PhD,University of Sussex,UK,2011.0,"Pervasive Computing,secure device/service discovery, activity recognition and access control mechanisms using proximity/sensors' data, policy-based systems, context-awareness and adaptation mechanisms,sensor networks, wireless networks (including WiFi, Bluetooth, WiMAX, etc), and solutions to various issues in distributed and pervasive computing systems through the integration of tools and techniques from distinct disciplines/areas. �",,PhD
1249,1250,AFTAB AHMED CHANDIO,University of Sindh,Institute of Mathematics & Computer Science,Sindh,Assistant Professor,PhD,Chinese Academy of Sciences,China,2016.0,"resource management, job scheduling strategies, energy efficiency, and workload characterization for performance optimization of parallel and distributed systems such as cloud computing, and location-based services i.e., map-matching strategy for GPS trajectories",,PhD
1257,1258,ZUBAIR AHMED KALHORO,University of Sindh,Institute of Mathematics & Computer Science,Sindh,Lecturer,PhD,Xiamen university,China,2016.0,"Numerical linear algebra,Matrix Computation,Numerical Analysis",,PhD
1260,1261,Jawad Ahmed Shamsi,FAST(Karachi),Computer Science,Sindh,Professor,PhD,Wayne State University,USA,2009.0,,,PhD
1261,1262,Muhammad Atif Tahir,FAST(Karachi),Computer Science,Sindh,Professor,PhD,The Queens University of Belfast,UK,2006.0,"Machine Learning & Combinatorial Optimization Techniques with applications in image / video retrieval, cancer classification, surface inspection, bioinformatics, multi-label classification, and face recognition",,PhD
1262,1263,Zulfiqar Ali Memon,FAST(Karachi),Computer Science,Sindh,Associate Professor,PhD,"Vrije University, Amsterdam",Netherland,2010.0,,,PhD
1263,1264,Fahad Samad,FAST(Karachi),Computer Science,Sindh,Assistant Professor,PhD,RWTH Aachen University,Germany,2011.0,,,PhD
1264,1265,Farooque Hassan Kumbhar,FAST(Karachi),Computer Science,Sindh,Assistant Professor,PhD,Sungkyunkwan University,South Korea,2017.0,"Network Security and Data Security, Name Data Network or Content Centric Network, Security and Privacy isssues in MANET or Ad hoc computing, Internet of Things, Machine-to-Machine and Device-to-Device Communications, Wireless Communications (4G, 5G, etc. ), Optimization",,PhD
1265,1266,Jalaluddin Qureshi,FAST(Karachi),Computer Science,Sindh,Assistant Professor,PhD,Nanyang Tech University,Singapore,2014.0,"Error Correction Coding, Optimization Wireless Routing, Mathematical analysis of transmission networks, Evolutionary computation, Applied Machine Learning",,PhD
1266,1267,Sufian Hameed,FAST(Karachi),Computer Science,Sindh,Assistant Professor,PhD,RWTH Aachen University,Germany,2012.0,,,PhD
1267,1268,Syed Tahir Qasim,FAST(Karachi),Computer Science,Sindh,Assistant Professor,PhD,Universite d'Evry Val d'Essonne,France,2011.0,,,PhD
1299,1300,S.M. Aqil Burney,University of Karachi,Computer Science,Sindh,Professor,PhD,,UK,,"Artificial Intelligence, Software Engineering, Optimization",,PhD
1300,1301,Dr. M. Sadiq Ali Khan,University of Karachi,Computer Science,Sindh,Associate Professor,PhD,,UK,,,,PhD
1318,1319,Najmi Ghani Haider.,"NED,UET",Computer Science,Sindh,Professor/Chairman,PhD,Brunel University,UK,,"Machine Learning, Robust Speech Recognition, Image Processing.",,PhD
1321,1322,Najeed Ahmed Khan.,"NED,UET",Computer Science,Sindh,Associate Professor,PhD,University of Leeds,UK,,Computer Vision.,,PhD
1322,1323,Muhammad Mubashir Khan.,"NED,UET",Computer Science,Sindh,Associate Professor,PhD,University of Leeds,UK,,Information Security.,,PhD
1324,1325,Saman Hina.,"NED,UET",Computer Science,Sindh,Assistant Professor,PhD,University of Leeds,UK,,Semantics.,,PhD
1325,1326,Shariq Mahmood Khan.,"NED,UET",Computer Science,Sindh,Assistant Professor,PhD,Brunel University,UK,,Wireless Ad-Hoc Routing Protocols and Information Security.,,PhD
1326,1327,Shehnila Zardari.,"NED,UET",Computer Science,Sindh,Assistant Professor,PhD,The University of Birmingham,UK,,"Cloud Adoption: A Goal-Oriented Requirements Engineering Approach Research Interests: Requirements Engineering, Risk Management, Cloud Architecture, Software Engineering",,PhD
1335,1336,Imran N. Junejo,"Institute of Business Administration, Karachi�",Computer Science,Sindh,Associate Professor,PhD,University of Central Florida,USA,2007.0,,,PhD
1336,1337,Imran Rauf,"Institute of Business Administration, Karachi�",Computer Science,Sindh,Assistant Professor,PhD,Max Planck Institute for Computer Science,Germany,2011.0,,,PhD
1337,1338,Nasir Touheed,"Institute of Business Administration, Karachi�",Computer Science,Sindh,Professor,PhD,University of Leeds,UK,1999.0,,,PhD
1340,1341,Sajjad Haider,"Institute of Business Administration, Karachi�",Computer Science,Sindh,Professor,PhD,George Mason University,USA,2005.0,,,PhD
1341,1342,Sayeed Ghani,"Institute of Business Administration, Karachi�",Computer Science,Sindh,Associate Professor,PhD,Columbia University,USA,1990.0,,,PhD
1343,1344,Tariq Mahmood,"Institute of Business Administration, Karachi�",Computer Science,Sindh,Assistant Professor,PhD,University of Trento,Italy,2009.0,,,PhD
1344,1345,Zaheeruddin Asif,"Institute of Business Administration, Karachi�",Computer Science,Sindh,Assistant Professor,PhD,Temple University,USA,2008.0,,,PhD
1347,1348,M. Abdul Rehman,"Institute of Business Administration,Sukkur",Computer Science,Sindh,Associate Professor/HoD,PhD,University of Bayreuth,Germany,,"Scientific Workflows, Scientific (machine generated) Data Management, Ontology based data integration, and Data transformation as well as transportation in scientific applications. Moreover, his interests also include the dataflow and data transformation languages.",,PhD
1348,1349,Qamar Uddin Khand,"Institute of Business Administration,Sukkur",Computer Science,Sindh,Associate Professor,PhD,"Muroran Institute of Technology,Hokkaido",Japan,,"Embedded Control Systems, Sketch-Based Interfaces and Modeling, Soft Computing, Computer Graphics, and Renewable Energy based Irrigation Systems.",,PhD
1349,1350,Sher Muhammad Doudpota,"Institute of Business Administration,Sukkur",Computer Science,Sindh,Director,PhD,Asian Institute of Technology,Thailand,,Multimedia Data Mining,,PhD
1350,1351,Javed Ahmed Shahani�,"Institute of Business Administration,Sukkur",Computer Science,Sindh,Assistant Professor,PhD,University of Bologna,Italy,,"Semantic Web technologies, Online Social Networks, Privacy and Data Protection, Social Application Development, Multi Agent Systems",,PhD
1351,1352,Ahmad Waqas,"Institute of Business Administration,Sukkur",Computer Science,Sindh,Associate Professor,PhD,International Islamic University,Malaysia,,"�Distributed Systems, Cloud Computing, Network Design, Security and Management, Algorithms and Data Structures and Theoretical computer science.",,PhD
1352,1353,M. Ajmal Sawand,"Institute of Business Administration,Sukkur",Computer Science,Sindh,Assistant Professor,PhD,Paris Descartes University,France,,"security and resource management in Wireless Medical Sensor Networks, Wireless Body Area Networks, Wireless Sensor Networks, Virtual Sensor Networks, Mobile Crowd Sensing, Participatory Sensing, Quality of Monitoring for medical and health applications and Quality of Service optimization for audiovisual communications.",,PhD
1366,1367,Hameedullah Kazi,ISRA University,"ENGINEERING, SCIENCE & TECHNOLOGY",Sindh,Professor,PhD,Asian Institute of Technology,Thailand,,,,PhD
1367,1368,Ahmed Waliullah Kazi,ISRA University,"ENGINEERING, SCIENCE & TECHNOLOGY",Sindh,Associate Professor,PhD,State University of New York System,USA,,,,PhD
1369,1370,Kamran Khowaja,ISRA University,"ENGINEERING, SCIENCE & TECHNOLOGY",Sindh,Assistant Professor,PhD,University of Malaya,Malaysia,,,,PhD
1377,1378,Mohammad Rafique Abro,ISRA University,"ENGINEERING, SCIENCE & TECHNOLOGY",Sindh,Professor,PhD,,UK,,,,PhD
1378,1379,Muhammad Ali Nizamani,ISRA University,"ENGINEERING, SCIENCE & TECHNOLOGY",Sindh,Assistant Professor,PhD,,France,,,,PhD
1380,1381,MUMTAZUL IMAM,Sir Syed University of Engineering and Technology,Computer Engineering,Sindh,Professor,PhD,London University,UK,,,,PhD
1381,1382,SHAKIL AHMED,Sir Syed University of Engineering and Technology,Computer Engineering,Sindh,Associate Professor/Chairman,PhD,Universiti Putra Malaysia Putra,Malaysia,,,,PhD
1383,1384,MUHAMMAD TAHIR,Sir Syed University of Engineering and Technology,Computer Engineering,Sindh,Associate Professor,PhD,University of Rome Tor Vergata,Italy,,,,PhD
1384,1385,SYED HASSAN RAZA NAQVI,Sir Syed University of Engineering and Technology,Computer Engineering,Sindh,Associate Professor,PhD,Politecnico di Milano,Italy,,,,PhD
1385,1386,REHAN INAM QURESHI,Sir Syed University of Engineering and Technology,Computer Engineering,Sindh,Associate Professor,PhD,University of South Australia,Australia,,,,PhD
1503,1504,Muhammad Mobeen Movania�,DHA Suffa University,Computer Science,Sindh,Assistant Professor/HoD ,PhD,�Nanyang Technological University,Singapore,,"GPU based volume rendering, Biomedical imaging and visualization, Soft body simulations, Physically based animation, Physically based rendering, Cloth simulation, Augmented reality�",,PhD
1504,1505,�Hironao Takahashi�,DHA Suffa University,Computer Science,Sindh,Associate Professor,PhD,Tokyo Institute of Technology,Japan,,Ontology-based Classification and Mind Uploading�,,PhD
1518,1519,Muhammad Taha Jilani,PAF-Karachi Institute of Economics and Technology,Computing & Information Sciences,Sindh,Assistant Professor,PhD,Universiti Teknologi PETRONAS,Malaysia,,"Internet of Things
Smart Sensors & Networks",,PhD
1554,1555,Asim Imdad Wagan,Mohammad Ali Jinnah University,FACULTY OF COMPUTING & ENGINEERING,Sindh,Associate Professor,PhD,"INSA de Lyon, Rhone",France,,,,PhD
1556,1557,Khaliq-ur-Rahman Raazi,Mohammad Ali Jinnah University,FACULTY OF COMPUTING & ENGINEERING,Sindh,Associate Professor/HoD,PhD,Kyung Hee University,South Korea,,,,PhD
1557,1558,Kashif Ishaque,Mohammad Ali Jinnah University,FACULTY OF COMPUTING & ENGINEERING,Sindh,Associate Professor,PhD,Universiti Teknologi PETRONAS,Malaysia,,"Modelling and simulation of grid-connected photovoltaic system, efficient battery charging devices for PV system, intelligent control, non-linear systems and exploitation of evolutionary algorithms such as genetic algorithm (GA), particle swarm optimization (PSO) and differential evolution (DE) in engineering applications.",,PhD
1558,1559,Haji Khan Soomro,Mohammad Ali Jinnah University,FACULTY OF COMPUTING & ENGINEERING,Sindh,Professor,PhD,University of Dundee,UK,,,,PhD
1559,1560,Syed Qutubuddin Ahmed,Mohammad Ali Jinnah University,FACULTY OF COMPUTING & ENGINEERING,Sindh,Assistant Professor,PhD,Illinois Institute of Technology,USA,,,,PhD
1560,1561,Syed Asad Hussain,Mohammad Ali Jinnah University,FACULTY OF COMPUTING & ENGINEERING,Sindh,Assistant Professor,PhD,City University of Science and Technology,HongKong,2017.0,"Building energy efficiency, data fusion, uncertainty analysis and robust control.",,PhD
1568,1569,Waheed Uddin Hyder,Mohammad Ali Jinnah University,FACULTY OF COMPUTING & ENGINEERING,Sindh,Assistant Professor,PhD,University of Malaga,Spain,,,,PhD
1575,1576,Waqar Saleem,Habib University,Computer Science,Sindh,Assistant Professor,PhD,Max Planck Institute for Computer Science,Germany,,Digital processing and management tools for 2D and 3D shape repositories; geometric modeling; data structures; advanced programming; algorithm analysis; digital computer logic; computer architecture; linear algebra; discrete mathematics.,,PhD
1576,1577,Shah Jamal Alam,Habib University,Computer Science,Sindh,Assistant Professor/Director,PhD,Manchester Metropolitan University,UK,,"Social network analysis,Land use change,Climate change adaptation,Infectious disease transmission,Social anthropology",,PhD
1577,1578,Umair Azfar Khan,Habib University,Computer Science,Sindh,Assistant Professor,PhD,"Kyushu University,Fukuoka",Japan,,Artificial Intelligence and Planning Graphs,,PhD
1579,1580,Shahid Hussain,Habib University,Computer Science,Sindh,Assistant Professor,PhD,King Abdullah University of Science and Technology,Saudi Arabia,,"design and analysis of efficient algorithms, graph theory, discrete and combinatorial optimization, and machine learning/data mining.",,PhD
1580,1581,Taj Muhammad Khan,Habib University,Computer Science,Sindh,Assistant Professor,PhD,INRIA Saclay Ile-de-France,France,,"Computer Architecture, Compiler Optimizations and Natural Languages",,PhD
1586,1587,Dost Muhammad Khan,Islamia University Bhawalpur,Computer Science & IT,Punjab,Assistant Professor,PhD,University of Technology,Mauritius,,"RDBMS, Distributed Systems, Multi-Agent System (MAS), Data Minning and Data Minning Techniques.",,PhD
1588,1589,Waqar Aslam,Islamia University Bhawalpur,Computer Science & IT,Punjab,Assistant Professor,PhD,Eindhoven University of Technology (TU/e),Netherland,,,HEC Approved Supervisor,PhD
1592,1593,Mamoona Naveed Asghar,Islamia University Bhawalpur,Computer Science & IT,Punjab,Assistant Professor,PhD,University of Essex,UK,,"Research interests include the security aspects of multimedia (Audio and Video), Compression, Encryption, Steganography, Secure transmission and the Key management schemes for standard and scalable video.",,PhD
1593,1594,Imran Sarwar Bajwa,Islamia University Bhawalpur,Computer Science & IT,Punjab,Assistant Professor,PhD,University of Birmingham,UK,,"Natural Language Processing, Automated Software Engineering, Image Processing, Machine Translation",HEC Approved Supervisor,PhD
1594,1595,Nadeem Akhtar,Islamia University Bhawalpur,Computer Science & IT,Punjab,Assistant Professor,PhD,University of South Brittany,France,,"Formal software engineering, Software architecture, Multi-agent robotics",HEC Approved Supervisor,PhD
1610,1611,Saima Abdullah,Islamia University Bhawalpur,Computer Science & IT,Punjab,Assistant Professor,PhD,University of Essex,UK,,"Wireless sensor networks. Internet of things(IoT), Scheduling patterns of sensor messages, Node failures management, QoS aware message scheduling",,PhD
1616,1617,Shahzad Mumtaz,Islamia University Bhawalpur,Computer Science & IT,Punjab,Lecturer,PhD,"Aston University, Birmingham",UK,,"Machine Learning/Data Science/Data Mining/Statistical Pattern Analysis in general but with a particular interest in probabilistic approaches of high-dimensional data projection approaches and their use in answering questions related to biological problems related to protein analytics, patient specific analytics etc.",,PhD
1642,1643,Ahsan Latif,University of Agricultre Faisalabad,Computer Science and Engineering,Punjab,Assistant Professor,PhD,,Austria,,"Computer Vision, Artificial Intelligence, Nonlinear Dynamics",HEC Approved Supervisor,PhD
1656,1657,Muhammad Kashif Hanif,Government College University Faisalabad,Computer Science,Punjab,Assistant Professor,PhD,Hamburg University of Technology,Germany,2014.0,,,PhD
1672,1673,Muhammad Asif Habib,"National Textile University,Faisalabad",Computer Science,Punjab,Assistant Professor,PhD,JKU,Austria,,"Computer Networks (Information Network Security (Access Control/Authorization), Cloud Computing Security)",HEC Approved Supervisor,PhD
1673,1674,Muhammad Asif,"National Textile University,Faisalabad",Computer Science,Punjab,Assistant Professor,PhD,Asian Institute of Technology,Thailand,,,HEC Approved Supervisor,PhD
1675,1676,Mudassar Ahmad,"National Textile University,Faisalabad",Computer Science,Punjab,Assistant Professor,PhD,University of Technology,Malaysia,,,,PhD
1677,1678,Nadeem Faisal,"National Textile University,Faisalabad",Computer Science,Punjab,Lecturer,PhD,University of Oviedo,Spain,2017.0,"E-commerce, usability testing, User interface design, User acceptance testing, User experience design, Databases, Requirement engineering & analysis, Human-computer-interaction.",,PhD
1678,1679,Haseeb Ahmad,"National Textile University,Faisalabad",Computer Science,Punjab,Assistant Professor,PhD,Beijing University of Posts & Telecommunications,China,2017.0,"Data Mining (Classification, Prediction, Online Social Networks, Recommender Systems and other similar topics), Information Security (Privacy preservation, Authentication and other similar topics).",,PhD
1700,1701,Muhammad Sheraz Arshad,"Riphah University,Faisalabad",Computer Science,Punjab,Assistant Professor/Principal,PhD,Universiti Teknologi PETRONAS,Malaysia,,,,PhD
1701,1702,Mudassar Ahmed,"Riphah University,Faisalabad",Computer Science,Punjab,Assistant Professor,PhD,Universiti Teknologi PETRONAS,Malaysia,,,,PhD
1702,1703,Ijaz Ali Shoukat,"Riphah University,Faisalabad",Computer Science,Punjab,Assistant Professor,PhD,Universiti Teknologi PETRONAS,Malaysia,,,,PhD
1726,1727,Shahid Manzoor,"Punjab University,Gujranwala Campus",Computer Science,Punjab,Assistant Professor,PhD,"Swedish University of Agricultural Sciences, Uppsala",Sweden,2014.0,"NGS Data (Assembly, Annotation, Metabolic Pathways Analysis), Computational Biology.",On study leave,PhD
1729,1730,Ghulam Mustafa,"Punjab University,Gujranwala Campus",Computer Science,Punjab,Assistant Professor,PhD,Beijing Institute of Technology,China,,,,PhD
1774,1775,Muhammad Shahzad Sarfraz,University of Gujrat,Computer Science,Punjab,Associate Professor/HoD,PhD,Asian Institute of Technology,Thailand,,using Geospatial technologies to strengthen and integrate health systems,,PhD
1813,1814,Shah Khusro,University of Peshawar,Computer Science,KPK,Professor/HoD,PhD,Vienna University of Technology,Austria,,"Web Engineering, Web Semantics, Web 2.0, Lifelogging, Smartphones, Information Overload, Technology for People with Special Needs",,PhD
1814,1815,Azhar Rauf,University of Peshawar,Computer Science,KPK,Professor,PhD,Colorado Technical University,USA,2006.0,"Database Security (Fine Grained Security Techniques, K-Anonymity, Digital Watermarking, Data Encryption), Data Warehousing (Data Quality Techniques, Data De-duplication), Data Mining, Big Data Analytics","Remained at the Chancellor�s list by achieving 4.0 CGPA during the MS Computer Science Program at Colorado Technical University, USA",PhD
1815,1816,Muhammad Abid,University of Peshawar,Computer Science,KPK,Professor,PhD,Cranfield University,UK,1990.0,"Sentiment Analysis, Text Simplification, Plagiarism Detection, Automatic paraphrasing",,PhD
1816,1817,Saeed Mahfooz,University of Peshawar,Computer Science,KPK,Professor,PhD,Liverpool John Moores University,UK,2001.0,"Networks, Mobile Adhoc networks, Wireless sensor Networks, Distrinuted systems, Differential services, Routing Algorithms, Internet Protocol IPv6",,PhD
1817,1818,Sara Shahzad,University of Peshawar,Computer Science,KPK,Associate Professor,PhD,Technical University of Graz,Austria,2010.0,"Agile Software Development, Software Quality, Empirical Research in Software Engineering",,PhD
